MMSI,선박명,선종코드,IMO,호출부호,DimA,DimB,DimC,DimD,흘수,추정톤수
248912000,TOSCANA,70,9398333,9HA4858,40,160,25,8,9,26867
248917000,TOLEDO,70,9293624,9HA4861,37,162,9,23,9.5,26466
248923000,TORRENS,70,9293612,9HA4865,38,162,10,22,10.4,26867
248924000,TORONTO,70,930220500,9HA4866,41,159,16,16,9.9,26867
249011000,TITUS,70,9700512,9HA4089,37,162,13,23,7.5,26466
249021000,MAX PEAK,72,9433937,9HA4080,117,12,8,12,6.6,7209
249082000,AEGEAN HEAVEN,77,9203605,9HKC9,36,36,36,36,6.9,1152
249167000,CMACGM OHIO,71,9722687,9HA4132,124,176,24,24,14.4,93294
249168000,CMA CGM NIAGARA,79,9722675,9HA4133,124,176,24,24,11.6,93294
249319000,ADAM ASNYK,70,9432115,9HA4195,184,16,18,10,10.3,26867
249322000,CMACGM JACQUESJUNIOR,79,9722716,9HA4198,124,176,24,24,13.1,93294
249364000,FORTE,70,9592848,9HA4216,16,200,19,24,7.5,34821
